 book_id |                                                                                               title                                                                                               | chunks | words  
---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------+--------
    4204 | Anne Frank                                                                                                                                                                                        |      2 |   3814
    4904 | Haruki Murakami - The Wind - Up Bird Chronicle                                                                                                                                                    |      2 |  15684
    3638 | How To Take Your Time                                                                                                                                                                             |      3 |  10126
    4795 | Kirk Douglas: The Ultimate Face Of The Golden Age Celebrity, Actors & Entertainers, Films, Film History, Movie History, Celebrities, Rich & Famous, Biographies Of Actors & Actresses, Nonfiction |      3 |  11012
    4887 | What the Dead Know (Into Shadow collection)                                                                                                                                                       |      3 |  16256
    4893 | The Candles Are Burning (Into Shadow collection)                                                                                                                                                  |      3 |  19480
    4906 | 3001 The Final Odyssey                                                                                                                                                                            |      3 | 118240
    4920 | Hull Zero Three                                                                                                                                                                                   |      3 | 143384
    4908 | The Picture of Dorian Gray by Oscar Wilde                                                                                                                                                         |      3 | 158132
    3288 | The Education Of Kim Jong - Un                                                                                                                                                                    |      4 |  13638
    4136 | Persephone (Into Shadow Collection)                                                                                                                                                               |      4 |  15856
    4206 | Smothered And Covered                                                                                                                                                                             |      4 |  16230
    4127 | The Six Deaths Of The Saint (Into Shadow Collection)                                                                                                                                              |      4 |  16298
    3607 | Cut And Thirst: A Short Story                                                                                                                                                                     |      4 |  17956
    5120 | Second Shift - Order (Part 7 Of The Silo Series)                                                                                                                                                  |      4 |  18000
    4956 | The art of seeing                                                                                                                                                                                 |      4 |  95652
    4947 | Concrete Jungle: A Green Beret's guide to Urban Survival                                                                                                                                          |      4 |  97684
    3901 | Out Of The Mirror, Darkness (Into Shadow Collection)                                                                                                                                              |      5 |  20442
    4377 | How To Love                                                                                                                                                                                       |      5 |  21612
    3287 | Memento: An Illuminae Files Novella                                                                                                                                                               |      5 |  22242
    3325 | [Baby - Sitters Little Sister 51] • Karen'S Big Top                                                                                                                                               |      5 |  22320
    3727 | Stacey Abrams                                                                                                                                                                                     |      5 |  22968
    4889 | The Long Dark Tea - Time of the Soul                                                                                                                                                              |      5 | 149966
    4936 | Kitchen Confidential                                                                                                                                                                              |      5 | 193472
    4934 | The Ascension Factor                                                                                                                                                                              |      5 | 242416
(25 rows)

