chunk_id,book_id,chunk_type,character_count,word_count,created_at
FULLBOOK_1,1,fullbook,1452352,266159,2025-08-06 03:45:51.277208
FULLBOOK_100,100,fullbook,2230769,345126,2025-08-06 12:29:19.374153
FULLBOOK_1000,1000,fullbook,1968068,295160,2025-08-06 12:55:57.645248
FULLBOOK_1001,1001,fullbook,1557266,294432,2025-08-06 12:55:58.717087
FULLBOOK_1002,1002,fullbook,743677,129602,2025-08-06 12:55:59.61652
FULLBOOK_1003,1003,fullbook,1364848,243350,2025-08-06 12:56:00.385202
FULLBOOK_1004,1004,fullbook,1255821,233639,2025-08-06 12:56:01.279916
FULLBOOK_1005,1005,fullbook,1286061,231102,2025-08-06 12:56:02.149749
FULLBOOK_1006,1006,fullbook,1602419,255680,2025-08-06 12:56:03.444901
FULLBOOK_1007,1007,fullbook,5089438,927425,2025-08-06 12:56:04.747956
FULLBOOK_1008,1008,fullbook,5363307,971251,2025-08-06 12:56:06.981835
FULLBOOK_1009,1009,fullbook,1442104,264790,2025-08-06 12:56:09.01398
FULLBOOK_101,101,fullbook,573099,91789,2025-08-06 12:29:23.535225
FULLBOOK_1010,1010,fullbook,1652545,299323,2025-08-06 12:56:09.95171
FULLBOOK_1011,1011,fullbook,1416120,263738,2025-08-06 12:56:10.934194
FULLBOOK_1012,1012,fullbook,1455908,265446,2025-08-06 12:56:11.881504
FULLBOOK_1013,1013,fullbook,881319,158034,2025-08-06 12:56:12.798027
FULLBOOK_1014,1014,fullbook,981353,166968,2025-08-06 12:56:13.532515
FULLBOOK_1015,1015,fullbook,551303,99828,2025-08-06 12:56:14.252796
FULLBOOK_1016,1016,fullbook,1629197,285954,2025-08-06 12:56:15.549715
FULLBOOK_1017,1017,fullbook,4152005,751659,2025-08-06 12:56:16.801099
FULLBOOK_1018,1018,fullbook,1128514,200380,2025-08-06 12:56:18.428846
FULLBOOK_1019,1019,fullbook,1697042,312555,2025-08-06 12:56:19.314169
FULLBOOK_102,102,fullbook,3448350,542103,2025-08-06 12:29:24.389663
FULLBOOK_1020,1020,fullbook,2053821,355302,2025-08-06 12:56:20.370927
FULLBOOK_1021,1021,fullbook,2023030,316405,2025-08-06 12:56:21.530399
FULLBOOK_1022,1022,fullbook,1662757,263677,2025-08-06 12:56:22.630581
FULLBOOK_1023,1023,fullbook,2000611,357512,2025-08-06 12:56:23.680626
FULLBOOK_1024,1024,fullbook,1376648,244664,2025-08-06 12:56:24.764649
FULLBOOK_1025,1025,fullbook,2304668,361755,2025-08-06 12:56:25.750254
FULLBOOK_1026,1026,fullbook,1491039,247316,2025-08-06 12:56:33.47716
FULLBOOK_1027,1027,fullbook,1502305,272316,2025-08-06 12:56:34.393793
FULLBOOK_1028,1028,fullbook,2442014,394993,2025-08-06 12:56:35.49297
FULLBOOK_1029,1029,fullbook,895989,162157,2025-08-06 12:56:36.859269
FULLBOOK_103,103,fullbook,325829,54439,2025-08-06 12:29:25.800079
FULLBOOK_1030,1030,fullbook,576772,99645,2025-08-06 12:56:37.579108
FULLBOOK_1031,1031,fullbook,1456503,253037,2025-08-06 12:56:38.283455
FULLBOOK_1032,1032,fullbook,598067,109250,2025-08-06 12:56:39.149338
FULLBOOK_1033,1033,fullbook,1285793,231485,2025-08-06 12:56:39.832459
FULLBOOK_1034,1034,fullbook,1194402,223243,2025-08-06 12:56:40.697472
FULLBOOK_1035,1035,fullbook,3650344,583935,2025-08-06 12:56:41.734189
FULLBOOK_1036,1036,fullbook,938645,173884,2025-08-06 12:56:43.846421
FULLBOOK_1037,1037,fullbook,3478718,620248,2025-08-06 12:56:44.829906
FULLBOOK_1038,1038,fullbook,5266209,854370,2025-08-06 12:56:46.662063
FULLBOOK_1039,1039,fullbook,1149001,214753,2025-08-06 12:56:48.614441
FULLBOOK_104,104,fullbook,2783818,490746,2025-08-06 12:29:26.544302
FULLBOOK_1040,1040,fullbook,3298557,573435,2025-08-06 12:56:49.601679
FULLBOOK_1041,1041,fullbook,591667,103305,2025-08-06 12:56:50.968948
FULLBOOK_1042,1042,fullbook,1845443,293580,2025-08-06 12:56:51.699588
FULLBOOK_1043,1043,fullbook,905988,173437,2025-08-06 12:56:52.680049
FULLBOOK_1044,1044,fullbook,1644625,284723,2025-08-06 12:56:53.47954
FULLBOOK_1045,1045,fullbook,5147015,909045,2025-08-06 12:56:54.751016
FULLBOOK_1046,1046,fullbook,985906,173714,2025-08-06 12:56:56.644804
FULLBOOK_1047,1047,fullbook,885952,161975,2025-08-06 12:56:57.398423
FULLBOOK_1048,1048,fullbook,1444037,255375,2025-08-06 12:56:58.182079
FULLBOOK_1049,1049,fullbook,1626457,303235,2025-08-06 12:56:59.132883
FULLBOOK_105,105,fullbook,679347,120869,2025-08-06 12:29:27.787002
FULLBOOK_1050,1050,fullbook,2451604,339432,2025-08-06 12:57:00.184862
FULLBOOK_1051,1051,fullbook,1320023,240175,2025-08-06 12:57:03.361096
FULLBOOK_1052,1052,fullbook,954254,160679,2025-08-06 12:57:04.201058
